Original Ingredient,Cleaned Ingredient
건목이버섯 5g,건목이버섯
건목이버섯(10g),건목이버섯
건무화과(5g),건무화과
건미역 2g,건미역
건미역 4g,건미역
건미역 1.5g,건미역
건미역(20g),건미역
"건바질 2g
감자 60g",건바질 감자
건블루베리(5g),건블루베리
건새우(20g),건새우
건새우(1컵),건새우
건새우 0.3g,건새우
건새우 10g,건새우
건새우 3g,건새우
다진 건새우(5g),건새우
건새우(10g),건새우
건새우 25g,건새우
"건새우(20g)
들깨가루(30g)",건새우 들깨
"건새우(15g)
- 육수 : 건새우(15g)",건새우 육수 건새우
건오징어 5 양념: 밀가루 1.25,건오징어 양념 밀
건조다시마 사방 10cm 1장,건조다시마 사방
"건조미역 10g
찹쌀 50g",건조미역 찹쌀
건조미역줄기 10g,건조미역줄기
"건조미역줄기 10g
맛장 : 일본된장 15g",건조미역줄기 맛장 일본된장
건조체리 15g,건조체리
건청양고추 2.5g,건청양고추
건취나물(10g),건취나물
건크랜베리 20g,건크랜베리
건타임 0.5g,건타임
건포도 150g,건포도
건포도 2g,건포도
건포도 5g,건포도
건포도 5알,건포도
건포도 20g,건포도
건포도(5g),건포도
건포도(20g),건포도
건포도(8g),건포도
건포도 10g,건포도
건포도 4g,건포도
"건포도 20g 
(아몬드우유) 아몬드 30g",건포도 아몬드
건표고버섯 5g,건표고버섯
건표고버섯 8g,건표고버섯
건표고버섯(20g),건표고버섯
건표고버섯 10g,건표고버섯
건표고버섯 0.1g,건표고버섯
건표고버섯 3g,건표고버섯
건표고버섯 불릴 물 150g,건표고버섯 불릴 물
건함초(3g),건함초
건홍고추 1,건홍고추
검정깨(볶은 것) 0.5,검정깨
검정깨 5g,검정깨
검정깨 0.01g,검정깨
검정깨 2g,검정깨
검정깨묵) 각 25g씩,검정깨묵 각 씩
"검정깨묵 각각 25g
귀리밥 150g",검정깨묵 각각 귀리밥
검정콩 10g,검정콩
검정콩(서리태) 2.7g,검정콩
게맛살 20g,게맛살
게맛살(15g),게맛살
"게맛살(30g)
- 곁들임채소 : 어린잎(10g)",게맛살 곁들임채소 어린잎
게살 17.5g,게살
게살(50g),게살
게살(½컵),게살
게살(크래미) 10g,게살
게살냉동 50g,게살
게피 0.5g,게피
겨자 1g,겨자
겨자가루(20g),겨자
겨자가루(10g),겨자
겨자(5g),겨자
겨자 0.5g,겨자
겨자 2g,겨자
겨자 5g,겨자
겨자가루 5g,겨자
겨자가루(10g).,겨자
겨잣가루(10g),겨잣
견과류(1컵),견과류
다진 견과류(20g),견과류
견과류 10g,견과류
견과류(20g),견과류
견과류(8g),견과류
견과류(30g),견과류
견과류(5Ts),견과류
견과류 15g,견과류
"견과류(16g)
단촛물 설탕(3g)",견과류 단촛물 설탕
견과류 : 아몬드,견과류 아몬드
계란20g,계란
계란 80g,계란
계란 20g,계란
계란 55g,계란
계란 65g(1.5개),계란
계란 5,계란
계란 75g(1.5개),계란
계란 10g,계란
계란 7,계란
계란 20g(0.3개),계란
계란 110g,계란
계란 60g,계란
계란 150g,계란
"계란 60g
다진마늘 15g",계란 마늘
"계란 60g
소스 : 저염간장 30g",계란 소스 저염간장
계란 32.5g 후추 0.1g,계란 후추
계란노른자 5g,계란노른자
계란노른자 25g,계란노른자
계피(5g),계피
계피가루(8g),계피
계피가루(0.2g),계피
계피가루 2g,계피
계피가루적당량,계피
계피가루 5g,계피
계피가루(20g),계피
계피(10g),계피
계피가루 1g,계피
계피가루 0.1g,계피
계피가루 0.25g,계피
계피가루 0.2g,계피
계피가루(1g),계피
계피가루(10g),계피
고구마 15g,고구마
고구마(15g),고구마
고구마(50g),고구마
고구마(13g),고구마
고구마(75g),고구마
고구마 90g,고구마
고구마 35g,고구마
고구마 70g,고구마
고구마(180g),고구마
고구마(175g),고구마
고구마(30g),고구마
고구마(100g),고구마
고구마 50g,고구마
(속재료)  고구마 30g,고구마
고구마(35g),고구마
고구마 150g,고구마
고구마 30g,고구마
고구마(20g),고구마
고구마 40g,고구마
고구마 60g,고구마
고구마(25g),고구마
고구마(200g),고구마
고구마(120g),고구마
고구마(1개),고구마
고구마 100g,고구마
고구마(150g),고구마
고구마 20g,고구마
고구마(130g),고구마
고구마 다이스 100g,고구마 다이스
고구마순 25g,고구마순
고구마순(10g),고구마순
고구마순 60g,고구마순
고구마칩(5g),고구마칩
고등어(1/2마리),고등어
고등어 50g,고등어
고등어(1마리),고등어
냉동고등어 300g,고등어
고등어 70g,고등어
고등어 35g,고등어
고사리 30g,고사리
고사리 15g,고사리
고사리 25g,고사리
고사리 20g,고사리
고사리(20g),고사리
고사리 10g,고사리
"고사리(20g)
표고버섯(20g)",고사리 표고버섯
고수(10g),고수
고운 고추가루 1,고운 고추
고운 고춧가루(2g),고운 고춧
고운 고춧가루(0.3Ts),고운 고춧
고운 고춧가루 1.25g,고운 고춧
고운 고춧가루 0.85g,고운 고춧
고운 고춧가루 1g,고운 고춧
고운 고춧가루(0.5ts),고운 고춧
고운 소금(0.3g),고운 소금
