Original Ingredient,Cleaned Ingredient
L.A갈비(200g),LA갈비
가다랑어장국(3g),가다랑어장국
가다랑어포(5g),가다랑어포
가다랑어포(2g),가다랑어포
"가다랑어포(0.3g)
•양념 : 미소된장(3g)",가다랑어포 된장
"가다랑어포(1g)
양념 후춧가루(0.1g)",가다랑어포 후추
"가다랑어포(1g)
육수 재료 물(200g)",가다랑어포
"가다랑어포(3g)
조림양념 저염간장(3g)",가다랑어포 간장
가람마살라(2Ts),가람마살라
가래떡(20g),가래떡
가시오가피(10g),가시오가피
가쓰오부시(10g),가다랑어포
가쓰오부시(20g),가다랑어포
가자미(50g),가자미
가자미 50,가자미
가자미(70g),가자미
가자미살 40g,가자미
가자미살 20g,가자미
가지(120g),가지
가지(2개),가지
가지(½개+20g),가지
가지 70g(1/2개),가지
가지(200g),가지
가지 25g,가지
가지 150g,가지
가지(10g),가지
가지 250g,가지
가지 20g(1/5개),가지
가지(15g),가지
가지(50g),가지
가지 70g,가지
가지 17g,가지
가지 30g,가지
가지(1/2개),가지
가지(80g),가지
가지(½개),가지
가지 15g,가지
가지 10g,가지
가지 20g,가지
가지(30g),가지
가지(20g),가지
가지(60g),가지
가지(5g),가지
[ 2인분 ] 가지(1개),가지
가지(1개),가지
가지 7g,가지
가지 12g,가지
"가지(10g)
가래떡(60g)",가지 떡
"가지(90g)
두부(50g)",가지 두부
"가지(17g)
양파(17g)",가지 양파
"가지(10g)
연근(10g)",가지 연근
가지 10g [소스소개] 저나트륨 발사믹소스:올리브오일 30g,가지 발사믹소스 올리브오일
"가지 1/2개(180g)
피망 100g",가지 피망
2가지색 미니파프리카 40g,가지색 미니파프리카
"2가지색 미니파프리카 70g
소스 : 유자청 30g",가지색 미니파프리카 유자청
3가지색 소면(분홍,면
2가지색 파프리카 20g,파프리카
"2가지색 파프리카 100g
양파 100g",파프리카 양파
가츠오부시 10g,가쓰오부시
각얼음(3개),""
각종 새싹 20g,새싹
간 마늘(10g),마늘
간 맞출 때 0.5g),소금
간 양파 5,양파
간 양파 3,양파
간 양파 10g,양파
간 파르메산치즈(5g),치즈
간장 0.8g,간장
간장 0.3g,간장
간장 2g,간장
간장 15g(1큰술),간장
간장 4,간장
간장 15g,간장
간장(0.5g),간장
간장(20g),간장
간장 0.5g,간장
간장(5g),간장
간장(30g),간장
간장 1.5g,간장
간장 0.2g,간장
간장 3g,간장
간장 2.5g,간장
간장(10g),간장
간장(1컵),간장
간장 1.5,간장
간장 5g,간장
간장 1,간장
간장 4g,간장
간장(1Ts),간장
간장(7g),간장
간장 0.1g,간장
