부추 콩가루 찜,부추 콩가루 찜,"['', '참기름', '참깨', '부추', '마늘', '대파', '고추']","['Chilly', 'Other grains', 'Chives', 'Green onion', 'Garlic']"
초계탕과 사색곤약,초계탕과 사색곤약,"['설탕', '닭', '후추', '오이', '곤약', '비트', '치자', '다시마', '양파', '마늘', '대파', '소금', '겨자', '가시오가피', '새우', '식초']","['Other shellfish', 'Other seafood', 'Onion', 'Green onion', 'Shrimp', 'Other root vegetables', 'Garlic', 'Cucumber', 'Chicken']"
호박잎 삼계탕,호박잎 삼계탕,"['', '미나리', '닭', '후추', '호박잎', '소금', '인삼', '대추', '쌀']","['Other root vegetables', 'Other herbage crop', 'Other fruiting vegetables', 'Rice', 'Chicken']"
황태미역 곤약스프,황태미역 곤약스프,"['들깨', '곤약', '참기름', '액젓', '마늘', '된장', '미역', '황태', '버섯', '두부']","['Beans', 'Other seasonings', 'Other seafood', 'Other grains', 'Other fish', 'Garlic']"
훈제오리가슴살 샐러드,훈제오리가슴살 샐러드,"['', '파슬리', '레디쉬', '발사믹소스', '양파', '오리고기', '블루베리']","['Duck', 'Onion']"
훈제오리가슴살크러스트,훈제오리가슴살크러스트,"['', '파슬리', '땅콩', '로즈마리', '올리브오일', '후추', '오리고기', '버섯', '오렌지']","['Other fruits', 'Other seasonings', 'Other herbage crop', 'Peanut', 'Duck']"
간장소스를 곁들인 새우전복찜,간장소스를 곁들인 새우전복찜,"['시금치', '레몬', '설탕', '녹말', '간장', '소금', '마늘', '전복', '해초', '새우', '꽃']","['Other shellfish', 'Other fruits', 'Beans', 'Other seasonings', 'Abalone', 'Shrimp', 'Garlic']"
검은콩국수,검은콩국수,"['토마토', '오이', '땅콩', '콩', '참깨', '잣', '메밀면']","['Buckwheat', 'Beans', 'Other seasonings', 'Tomato', 'Other grains', 'Wheat', 'Peanut', 'Cucumber']"
겨자소스로 구운 산마샐러드,겨자소스로 구운 산마샐러드,"['토마토', '설탕', '참나물', '마', '간장', '겨자', '돈나물', '레디쉬', '새싹', '식초']","['Beans', 'Other seasonings', 'Tomato', 'Other herbage crop', 'Other root vegetables']"
닭고기김치찌개,닭고기김치찌개,"['', '미나리', '닭', '애호박', '참기름', '양파', '대파', '고추', '버섯', '무']","['Radish', 'Onion', 'Chilly', 'Other grains', 'Green onion', 'Other fruiting vegetables', 'Chicken']"
완자김치찌개,완자김치찌개,"['', '마늘', '쇠고기', '콩']","['Garlic', 'Beef', 'Beans', 'Other seasonings']"
백김치콩비지찌개,백김치콩비지찌개,"['', '백김치', '후추', '간장', '마늘', '고추']","['Beans', 'Other seasonings', 'Chilly', 'Other herbage crop', 'Garlic']"
오징어김치찌개,오징어김치찌개,"['', '들깨', '오징어', '다시마', '콩나물', '대파', '멸치', '버섯', '두부', '김치']","['Beans', 'Other seasonings', 'Other seafood', 'Chilly', 'Other grains', 'Other herbage crop', 'Green onion', 'Other fish', 'Other mollusks']"
