방울양배추샐러드,방울양배추주스 만들기,"['', '양배추', '사과']",['Other herbage crop']
닭가슴살숙주청경채볶음,닭가슴살 숙주 청경채 볶음 ,"['', '청경채', '참기름', '닭', '굴소스', '마늘', '양파']","['Onion', 'Garlic', 'Chicken', 'Other seasonings', 'Other grains', 'Oyster', 'Other herbage crop']"
바나나두유스무디,코코아 바나나 두유 스무디,"['', '두유', '바나나']","['Soy milk', 'Banana']"
두부키위주스,두부키위주스 건강을 챙겨요~,"['', '두유', '키위', '두부']","['Soy milk', 'Kiwi']"
쑥갓두부샐러드,쑥갓두부샐러드 ,"['', '식초', '꿀', '토마토', '마늘', '쑥갓', '간장']","['Honey', 'Beans', 'Tomato', 'Garlic', 'Other herbage crop']"
유자청단무지,상큼 새콤 오도독~달아난 입맛도 돋아나게 하는! 유자청단무지!♥,"['', '파', '치자 단무지']",['Radish']
커피핫케이크,간단요리 커피 핫케이크,"['', '빵']","['Eggs', 'Wheat', 'Butter']"
딸기키위잼,딸기키위잼:돌덩이가 된 키위잼 소생기,"['꿀', '키위', '딸기']","['Honey', 'Other fruits', 'Kiwi']"
퀴노아단호박샐러드,씹히는 식감이 독특한 퀴노아 단호박 샐러드,"['옥수수', '치즈', '꿀', '퀴노아', '소금', '단호박']","['Honey', 'Cheese', 'Corn', 'Other grains']"
커피젤리라떼, 커피젤리 라떼 만들기,"['우유', '젤라틴', '메이플 시럽', '커피', '아이스크림']","['Eggs', 'Other dairy products', 'Other nuts', 'Pork']"
매실청간장국수,매실 고르는 법 / 매실청 담그는 시기 / 매실청 보관방법 / 매실청 효능,"['설탕', '매실']",[]
쌀가루핫케이크,쌀가루 핫케이크와 블루베리 콩포트,"['계란', '우유', '쌀', '']","['Eggs', 'Rice']"
흑임자연근샐러드,연근 맛있게 먹는 방법 흑임자연근샐러드 만들기,"['식초', '치커리', '연근', '']","['Other root vegetables', 'Other herbage crop']"
복숭아바나나스무디,복숭아 바나나 스무디,"['', '복숭아', '바나나']","['Peach', 'Banana']"
녹차아이스크림,녹차 아이스크림 ,"['', '우유', '설탕', '계란']",['Eggs']
훈제오리두부샐러드,훈제오리 두부 샐러드,"['', '올리브유', '채소', '두부', '소금']","['Other fruiting vegetables', 'Green onion', 'Other herbage crop']"
양상추토마토샐러드,초간단 양상추 토마토 샐러드,"['', '양상추']",['Other herbage crop']
과일젤리,과일젤리,"['설탕', '젤라틴', '생크림', '레몬', '체리']","['Other dairy products', 'Other fruits', 'Pork']"
무유자차샐러드,무 유자차샐러드（大根の柚子茶和え）,"['식초', '무', '소금', '유자']",['Radish']
대저토마토샐러드,"대저토마토 샐러드, 다이어트요리, 다이어트한끼 ","['', '후추', '식초', '간장', '올리브유', '토마토', '양파', '소금']","['Beans', 'Onion', 'Tomato', 'Pepper']"
오미자배숙,오미자배숙 : 미세먼지 극심한 요즘 필요한 목에 좋은 레시피 ★ ,"['', '설탕', '오미자', '생강', '잣', '배']","['Pinenuts', 'Ginger', 'Other fruits']"
메밀국수두부샐러드,메밀국수 두부샐러드,"['', '깨', '채소', '토마토', '두부', '메밀']","['Other fruiting vegetables', 'Tomato', 'Green onion', 'Other herbage crop']"
딸기잼도넛,"도넛 속에 딸기잼이~! ""딸기잼 도넛"" 만들기","['', '설탕', '계란', '밀', '식용유', '소금']","['Eggs', 'Wheat']"
무청시래기된장조림,무청시래기된장조림 압력솥으로 ,"['', '깨', '마늘', '무']","['Garlic', 'Radish']"
오미자에이드,"오미자에이드, 오미자음료","['', '오미자']",[]
키위바나나잼,지중해풍 열대과일맛 키위바나나잼,"['', '설탕', '키위']",['Kiwi']
귤잼머핀,상콤 달콤한 귤잼 머핀,"['버터', '', '우유', '계란', '밀']","['Eggs', 'Wheat', 'Butter']"
훈제닭가슴살샐러드,훈제 닭가슴살샐러드,"['채소', '', '닭고기', '요거트']","['Other fruiting vegetables', 'Chicken', 'Green onion', 'Other herbage crop']"
문어과일샐러드,"남은 차례음식의 변신, 문어과일샐러드","['', '참기름', '문어', '식초', '꿀', '마늘', '간장', '참외', '사과']","['Other mollusks', 'Honey', 'Beans', 'Other grains', 'Garlic']"
소보로포도잼빵,소보로 포도잼 빵,"['', '버터', '계란', '밀', '소금']","['Eggs', 'Wheat', 'Butter']"
깜빠뉴에그샌드위치,깜빠뉴에그샌드위치 & 깜빠뉴베이컨샌드위치,"['', '빵', '계란', '치즈', '햄']","['Butter', 'Wheat', 'Pork', 'Eggs', 'Cheese']"
콩국물청국장찌개,♥[신혼밥상] 콩국물 청국장찌개,"['', '고추', '청국장', '김치', '콩', '마늘', '돼지고기', '파', '양파', '버섯', '두부']","['Onion', 'Beans', 'Chilly', 'Wheat', 'Pork', 'Garlic', 'Other herbage crop']"
딸기바나나스무디볼,"더운 여름 시원하고 새콤한 ""딸기 바나나 스무디 볼""","['우유', '딸기', '바나나', '생크림']","['Other dairy products', 'Banana', 'Other fruits']"
샐러드오픈샌드위치,<다이어트음식> 샐러드 오픈샌드위치,"['', '잡곡브레드', '과일', '호박', '겨자', '오렌지', '채소', '토마토']","['Other fruits', 'Butter', 'Tomato', 'Green onion', 'Apple', 'Other fruiting vegetables', 'Other herbage crop']"
블루베리양배추샐러드,블루베리양배추샐러드:밥이 되는 다이어트 샐러드,"['', '식초', '양배추', '토마토', '블루베리', '양파']","['Other fruits', 'Onion', 'Tomato', 'Other herbage crop']"
유자청우유,유자청으로 만드는 새콤달콤한 유자청소스 / 유자소스♬,"['', '양파', '식초']",['Onion']
가지두부샐러드,가지두부샐러드,"['', '꿀', '올리브유', '가지', '채소', '토마토', '파프리카', '양상추', '식용유', '마늘', '양파', '두부']","['Onion', 'Honey', 'Tomato', 'Green onion', 'Garlic', 'Other fruiting vegetables', 'Other herbage crop']"
생강레몬청,생강레몬청 담그기. 생강차 레몬차 따끈하게 차한잔 해요~,"['설탕', '꿀', '생강', '레몬']","['Honey', 'Other fruits', 'Ginger']"
미나리청포묵무침,[청포묵 무침] 청포묵 김무침 녹두로 만들어진 청포묵 무침,"['', '참기름', '오이', '청포묵', '소금']","['Cucumber', 'Other grains']"
고구마샐러드토스트,브런치로 즐겨도 좋은 고구마샐러드 토스트,"['', '빵', '계란', '요거트', '소금', '사과']","['Eggs', 'Wheat', 'Butter']"
닭가슴살청포묵무침,닭가슴살 청포묵무침,"['', '설탕', '참기름', '계란', '호박', '닭', '파프리카', '간장', '청포묵', '소금']","['Chicken', 'Beans', 'Other grains', 'Eggs', 'Other fruiting vegetables']"
대패삼겹청경채볶음,대패삼겹과 청경채의 만남 '대패삼겹 청경채볶음',"['', '설탕', '청경채', '굴소스', '돼지고기', '간장']","['Beans', 'Other seasonings', 'Pork', 'Oyster', 'Other herbage crop']"
청국장된장찌개,"구수함에 업그레이드
청국장된장찌개","['어묵', '호박', '청국장', '된장', '쌀', '마늘', '멸치', '파', '버섯', '두부']","['Beans', 'Other fish', 'Wheat', 'Garlic', 'Other fruiting vegetables', 'Other seafood', 'Rice']"
감자과일샐러드,감자과일샐러드,"['', '계란', '꿀', '감자', '마요네즈', '오이', '땅콩']","['Honey', 'Cucumber', 'Eggs', 'Potato', 'Peanut']"
사과비트주스,건강쥬스인 사과와 비트와 당근을 활용해서 만든 [ABC쥬스] 입니다. ,"['', '당근', '비트', '사과']",['Other root vegetables']
망고요거트스무디,상콤달콤 망고 요거트 스무디,"['우유', '꿀', '망고', '요거트']",['Honey']
사과단호박샐러드,사과단호박샐러드,"['', '마요네즈', '사과', '단호박']",['Eggs']
렌틸콩두부샐러드,웰빙샐러드 렌틸콩두부샐러드,"['', '설탕', '콩', '올리브유', '채소', '마늘', '간장', '두부']","['Beans', 'Green onion', 'Garlic', 'Other fruiting vegetables', 'Other herbage crop']"
두부차돌박이샐러드,"두부차돌박이샐러드 레시피, 고소하고 건강한 맛!","['', '참기름', '올리브유', '소고기', '채소', '마늘', '토마토', '간장', '두부']","['Beans', 'Other grains', 'Tomato', 'Green onion', 'Garlic', 'Other fruiting vegetables', 'Beef', 'Other herbage crop']"
블랙베리요거트스무디,그릭요거트 스무디 블랙베리 요거트 스무디,"['', '요거트', '베리']",[]
돼지고기김치청국장찌개,돼지고기 김치 청국장찌개 ,"['', '고추', '호박', '김치', '청국장', '후추', '된장', '식용유', '돼지고기', '멸치', '파', '양파', '두부']","['Onion', 'Beans', 'Pepper', 'Chilly', 'Other fish', 'Wheat', 'Pork', 'Other fruiting vegetables', 'Other herbage crop']"
케일키위주스,케일키위주스,"['', '꿀', '키위', '케일']","['Honey', 'Other herbage crop', 'Kiwi']"
닭가슴살콥샐러드,콥샐러드,"['', '계란', '후추', '토마토', '오이', '마요네즈', '요거트', '양파', '수박', '소금', '사과']","['Onion', 'Cucumber', 'Tomato', 'Pepper', 'Eggs']"
코울슬로양배추샐러드,코울슬로 양배추 샐러드,"['', '빵', '당근', '식초', '꿀', '양배추', '후추', '마요네즈', '양파', '소금', '사과']","['Onion', 'Honey', 'Butter', 'Pepper', 'Wheat', 'Other root vegetables', 'Eggs', 'Other herbage crop']"
아보카도연어샐러드,[식약처] 아보카도 연어샐러드,"['오리고기', '오렌지', '아보카도', '채소', '사워크림', '파프리카', '양파']","['Other dairy products', 'Other fruits', 'Onion', 'Other fruiting vegetables', 'Green onion', 'Duck', 'Other herbage crop']"
식빵딸기잼하트파이,식빵딸기잼하트파이 하트모양 토스트로 사랑의 마음 전하기,"['버터', '', '빵']","['Eggs', 'Wheat', 'Butter']"
살치살청경채볶음,소고기 요리 :: 살치살 청경채볶음,"['', '청경채', '참기름', '후추', '굴소스', '소고기', '마늘', '식용유', '간장', '소금']","['Garlic', 'Beans', 'Other seasonings', 'Other grains', 'Pepper', 'Oyster', 'Beef', 'Other herbage crop']"
청포도연어샐러드,청포도 연어 샐러드,"['', '치즈', '오리고기', '청포도', '채소', '양상추']","['Duck', 'Other fruits', 'Other fruiting vegetables', 'Green onion', 'Cheese', 'Other herbage crop']"
무청시래기볶음,무청시래기볶음,"['', '깨', '마늘', '멸치', '파', '무']","['Garlic', 'Other fish', 'Radish']"
민어무청시래기조림,민어 무청 시래기 조림,"['', '양파', '무', '생선']","['Other fish', 'Onion', 'Radish']"
참나물닭가슴살샐러드,[참나물 닭가슴살 샐러드] 샐러드로 반찬으로 좋은 참나물샐러드~다이어트 샐러드,"['', '참나물', '닭', '마늘', '소금']","['Garlic', 'Chicken', 'Other herbage crop']"
무설탕다이어트젤리,딸기로 만드는 무설탕 다이어트 젤리 | 키토젤리 | 젤라틴가루 | 과일젤리,[''],[]
단호박샐러드안심스테이크,안심 스테이크 만들기,"['', '당근', '후추', '올리브유', '소고기', '양파', '소금']","['Onion', 'Other root vegetables', 'Beef', 'Pepper']"
돌나물연어샐러드,봄요리에 딱인 돌나물연어샐러드 만드는법 ,"['돌나물', '연어', '']",['Other fish']
단호박샐러드빵,단호박 샐러드 빵과 함께 브런치로~,"['', '꿀', '요거트', '단호박']",['Honey']
와인배숙,[식약처] 와인배숙,"['', '와인', '배', '사과']",['Other fruits']
바지락청국장찌개,바지락 청국장찌개,"['새우', '', '고추', '청국장', '무', '파', '버섯', '바지락', '소금']","['Shrimp', 'Beans', 'Chilly', 'Wheat', 'Radish']"
양배추샐러드토스트,든든한 아침한끼 양배추샐러드토스트 만들기,"['', '옥수수', '빵', '계란', '당근', '양배추', '마요네즈', '식용유', '파', '소금']","['Corn', 'Butter', 'Wheat', 'Other root vegetables', 'Eggs', 'Other herbage crop']"
콥샐러드비빔밥,건강한식 더비비고 차돌우렁강된장 콥샐러드 비빔밥,"['', '계란', '당근', '호박', '올리브유', '아보카도', '차돌우렁강된장', '햄', '양파', '쌀']","['Onion', 'Beans', 'Wheat', 'Other root vegetables', 'Pork', 'Eggs', 'Other fruiting vegetables', 'Rice']"
마요네즈과일샐러드,옛날사라다 만들기 마요네즈과일샐러드 소스 만드는법 사과 단감요리,"['', '설탕', '감', '마요네즈', '소금', '사과']","['Eggs', 'Other fruits']"
사과잼팬케익,사과팬케이크 만들기,"['설탕', '우유', '', '버터', '빵', '계란', '사과']","['Eggs', 'Wheat', 'Butter']"
밤팥아이스크림,달달하고 부드러운 밤팥 아이스크림,"['', '밤']",[]
연어샐러드유부말이,연어샐러드 유부말이,"['', '설탕', '부추', '유부', '연어', '쌀']","['Chives', 'Other fish', 'Rice']"
모과청파운드케이크,모과청파운드케이크:크리스마스케이크로 만들어 볼까요?,"['설탕', '', '우유', '버터', '계란', '밀', '소금']","['Eggs', 'Wheat', 'Butter']"
포도젤리,간단하게 만들수 있는 포도젤리,[''],[]
블루베리잼팬케이크,예뻐서 먹기 아까운 노오븐디저트! 블루베리잼 팬케이크만들기,"['버터', '우유', '계란', '']","['Eggs', 'Butter']"
수삼대추차,우리집 건강지킴이~ 수삼대추차와 수삼우유,"['', '대추', '수삼']",[]
돌나물연근샐러드,아삭아삭 휘리릭 초간단 샐러드~~돌나물 연근 샐러드,"['', '깨', '식초', '연근', '마늘', '돌나물', '간장']","['Garlic', 'Beans', 'Other root vegetables']"
개복숭아청,개복숭아청 만들기,"['', '복숭아']",['Peach']
감귤젤리아이스바,감귤젤리 아이스바 & 감귤젤리 ,"['', '설탕', '젤라틴']",['Pork']
브로콜리토마토샐러드,브로콜리토마토샐러드:그린&레드의 크리스마스샐러드,"['', '후추', '식초', '토마토', '마요네즈', '요거트', '브로콜리', '소금', '사과']","['Eggs', 'Other herbage crop', 'Tomato', 'Pepper']"
곶감잼,맛있는 곶감잼 만들기~!,"['설탕', '감', '생크림']","['Other dairy products', 'Other fruits']"
키위수박스무디, 키위수박스무디 & 키위 주스 ,"['', '꿀', '파인애플', '키위', '수박', '소금']","['Honey', 'Other fruits', 'Kiwi']"
단호박고구마과일샐러드,단호박 고구마 과일샐러드 ,"['', '설탕', '식초', '단호박', '파프리카', '양상추', '요거트', '소금', '귤']","['Other fruiting vegetables', 'Other herbage crop']"
감귤탕후루,감귤 탕후루,"['설탕', '', '감귤']",['Other fruits']
부추사과주스,몸에 좋은 부추 ; 공복에 먹는 부추 사과 주스,"['', '부추', '사과']",['Chives']
귤청파운드케이크,풋귤청파운드케이크:나빠쥬를 발라주니 맛도 반짝 모양도 반짝반짝,"['버터', '설탕', '', '계란', '밀', '꿀']","['Eggs', 'Honey', 'Wheat', 'Butter']"
초코칩에그타르트,초코칩에그타르트,"['', '버터', '우유', '설탕', '초콜릿', '계란', '초코칩쿠키']","['Eggs', 'Wheat', 'Butter']"
딸기청샐러드,딸기청 샐러드,"['설탕', '', '채소', '딸기', '요거트', '양파', '소금']","['Other fruits', 'Onion', 'Green onion', 'Other fruiting vegetables', 'Other herbage crop']"
채식청국장찌개,채식청국장찌개:청국장 불호(不好)를 호(好)로 바꿔주는 된장청국장,"['', '고추', '호박', '청국장', '양배추', '무', '마늘', '파', '양파', '두부']","['Onion', 'Beans', 'Chilly', 'Wheat', 'Garlic', 'Other fruiting vegetables', 'Radish', 'Other herbage crop']"
베이비콘샐러드,베이비콘(영콘) 요리 / 베이비콘 샐러드,"['옥수수', '', '꿀', '토마토', '오이', '간장', '소금']","['Beans', 'Honey', 'Cucumber', 'Corn', 'Tomato']"
콘샐러드피자,콘샐러드 피자,"['옥수수', '', '치즈', '후추', '양배추', '마요네즈', '소금']","['Corn', 'Pepper', 'Eggs', 'Cheese', 'Other herbage crop']"
베이컨에그오픈샌드위치,베이컨에그 오픈 샌드위치. 홈브런치메뉴.,"['', '버터', '빵', '계란', '치즈', '후추', '햄', '버섯', '소금']","['Butter', 'Pepper', 'Wheat', 'Pork', 'Eggs', 'Cheese']"
호밀빵오픈샌드위치,호밀빵 오픈 샌드위치 칵테일 새우 요리,"['새우', '', '버터', '호밀', '꿀', '올리브유', '아보카도', '토마토', '오이', '소금']","['Shrimp', 'Honey', 'Cucumber', 'Butter', 'Tomato', 'Wheat', 'Other fruiting vegetables']"
과일주스조림,[식약처] 과일 주스 조림,"['', '설탕', '자두', '포도', '복숭아', '블루베리', '체리', '산딸기', '사과']","['Peach', 'Other fruits']"
양배추청국장찌개,양배추청국장찌개:감자와 얼린두부로 건더기도 푸짐한 위편한 채식찌개,"['', '청국장', '양배추', '감자', '된장', '다시마', '배추', '버섯', '쌀']","['Beans', 'Other herbage crop', 'Wheat', 'Potato', 'Rice']"
새우청경채볶음밥,초간단 맛보장 새우청경채볶음밥 만들기,"['새우', '', '청경채', '고추', '설탕', '굴소스', '마늘', '파', '간장', '쌀', '소금']","['Shrimp', 'Garlic', 'Beans', 'Other seasonings', 'Chilly', 'Rice', 'Oyster', 'Other herbage crop']"
바나나딸기주스,바나나딸기주스,"['우유', '딸기', '바나나']","['Banana', 'Other fruits']"
체리요거트젤리,여름 디저트 체리요거트젤리,"['요거트', '젤라틴', '꿀', '체리']","['Honey', 'Other fruits', 'Pork']"
만두피치킨샐러드,집에남은 자투리야채를 활용한 만두피 치킨샐러드~,"['', '옥수수', '계란', '밀', '닭', '채소', '귤']","['Chicken', 'Corn', 'Wheat', 'Green onion', 'Eggs', 'Other fruiting vegetables', 'Other herbage crop']"
두유아이스크림,바나나 두유아이스크림,"['연유', '두유', '바나나', '피칸']","['Milk', 'Soy milk', 'Banana']"
핫케이크딸기오믈렛,핫케이크 딸기 오믈렛 어린이날 홈파티 음식,"['', '설탕', '빵', '계란', '생크림', '딸기']","['Other dairy products', 'Other fruits', 'Butter', 'Wheat', 'Eggs']"
차돌박이떡볶이,야식으로 최고 차돌박이 떡볶이,"['어묵', '', '설탕', '떡', '고추', '고추장', '소고기', '간장']","['Beans', 'Chilly', 'Other fish', 'Wheat', 'Other seafood', 'Beef']"
아보카도치즈토마토샐러드,아보카도&토마토샐러드,"['', '아보카도', '토마토', '파프리카', '소금']","['Other fruiting vegetables', 'Tomato']"
아코디언두부닭가슴살샐러드,HACCP 인증 제품으로 만든 건강한 레시피 /아코디언 두부 닭 가슴살 샐러드 ~ / [건강하고 맛있는 한 끼!!],"['', '고추', '꿀', '올리브유', '토마토', '마늘', '양상추', '파', '양파', '두부']","['Onion', 'Honey', 'Tomato', 'Chilly', 'Garlic', 'Other herbage crop']"
양배추오이샐러드,"양배추 요리, 양배추 오이 샐러드 레시피","['', '설탕', '식초', '양배추', '마늘', '오이', '간장', '소금']","['Garlic', 'Beans', 'Cucumber', 'Other herbage crop']"
체리레몬에이드,체리레몬에이드 만들기,"['설탕', '', '체리', '레몬']",['Other fruits']
토마토샐러드과카몰리,다이어트 식단 토마토 살사 과카몰리 새우 샐러드 만들기!,"['', '새우', '옥수수', '후추', '아보카도', '토마토', '오이', '양상추', '요거트', '양파', '두부', '소금']","['Shrimp', 'Onion', 'Cucumber', 'Corn', 'Tomato', 'Pepper', 'Other fruiting vegetables', 'Other herbage crop']"
도라지매실청,도라지 매실청,"['', '매실', '도라지']",['Other root vegetables']
가지토마토샐러드,"구운가지를 활용한 가벼운 한끼, 구운가지토마토샐러드","['', '후추', '올리브유', '가지', '토마토', '마늘', '소금']","['Garlic', 'Tomato', 'Pepper']"
뱀딸기청,뱀딸기 요리 / 뱀딸기 청,"['민트', '설탕', '딸기', '']",['Other fruits']
딸기사과주스,양배추로 주스 만들기 : 양배추 사과 주스 ( Cabbage apple Juice ),"['', '꿀', '양배추', '사과']","['Honey', 'Other herbage crop']"
딸기레몬청,딸기레몬청,"['설탕', '딸기', '레몬']",['Other fruits']
토마토청국장찌개,토마토청국장찌개,"['', '고추', '청국장', '된장', '올리브유', '토마토', '다시마', '파', '두부', '양파', '쌀']","['Onion', 'Beans', 'Tomato', 'Chilly', 'Wheat', 'Rice']"
리코타치즈샐러드피자,리코타치즈샐러드피자 넘나 깔끔하쟈나! ,"['', '설탕', '치즈', '밀', '꿀', '올리브유', '토마토', '아몬드']","['Honey', 'Cheese', 'Wheat', 'Tomato']"
크림치즈딸기잼파이,크림치즈딸기잼파이,['크림치즈딸기잼파이생지'],"['Eggs', 'Cheese', 'Other dairy products', 'Butter']"
망고바나나스무디,망고 바나나 스무디 ,"['', '우유', '망고', '요거트']",[]
바나나커피아이스크림,엄마표 바나나커피아이스크림,"['우유', '생크림', '커피', '바나나', '피칸', '연유']","['Milk', 'Other dairy products', 'Banana', 'Other nuts']"
사과잼돼지불고기,수제잼만들기-사과잼,"['깨', '', '사과']",[]
청양고추멸치볶음,청양고추 멸치볶음 만들기,"['', '고추', '식용유', '멸치']","['Chilly', 'Other fish']"
오리엔탈치킨샐러드,오리엔탈 치킨샐러드 만드는법,"['', '참기름', '빵', '계란', '샐러리', '닭고기', '올리브유', '채소', '간장']","['Chicken', 'Beans', 'Other grains', 'Butter', 'Wheat', 'Green onion', 'Eggs', 'Other fruiting vegetables', 'Other herbage crop']"
신비복숭아스무디,신비복숭아 스무디,"['', '우유', '복숭아', '요거트']",['Peach']
대구연어스프레드오픈샌드위치,대구연어스프레드 오픈샌드위치,"['', '빵', '생크림', '감자', '올리브유', '마늘', '대구', '소금']","['Other dairy products', 'Garlic', 'Butter', 'Wheat', 'Eggs', 'Potato']"
딸기아보카도스무디,부드럽고 상큼한 딸기아보카도스무디 만들기,"['', '우유', '꿀', '아보카도', '요거트', '딸기']","['Honey', 'Other fruits', 'Other fruiting vegetables']"
어묵콥샐러드,콥샐러드,"['', '계란', '후추', '토마토', '오이', '마요네즈', '요거트', '양파', '수박', '소금', '사과']","['Onion', 'Cucumber', 'Tomato', 'Pepper', 'Eggs']"
사과잼토스트,사과잼 토스트 만들기 콘푸라이트 올려 바삭하게 즐겨봐요 :) ,"['', '빵', '사과']","['Eggs', 'Wheat', 'Butter']"
자몽젤리,자몽젤리 만드는 법,"['', '설탕', '자몽']",['Other fruits']
유자청피클,유자청 요리 / 유자청 피클,"['', '설탕', '식초', '무', '소금']",['Radish']
오렌지레몬청,오렌지레몬청 만들기,"['', '설탕', '레몬', '식초', '오렌지']",['Other fruits']
가또쇼콜라케이크,가또 쇼콜라 케이크 만들기,"['', '버터', '계란', '밀', '꿀']","['Eggs', 'Honey', 'Wheat', 'Butter']"
한라봉딸기잼,한라봉잼 만들기,"['한라봉', '', '소금']",['Other fruits']
감자샐러드깻잎전,감자샐러드깻잎전:남은 반찬활용기,"['깨', '', '계란', '감자', '식용유']","['Eggs', 'Potato']"
유자청모닝빵,유자청으로 만드는 새콤달콤한 유자청소스 / 유자소스♬,"['', '양파', '식초']",['Onion']
새송이버섯청경채볶음,안주 _ 새송이버섯청경채볶음,"['', '청경채', '참기름', '마늘', '양파', '버섯']","['Garlic', 'Onion', 'Other grains', 'Other herbage crop']"
대추생강배숙,대추생강 배숙 만드는 방법,"['', '꿀', '대추', '생강', '배']","['Honey', 'Other fruits', 'Ginger']"
된장청국장찌개,된장 청국장찌개~깊은맛이 더 풍부하고 맛있어요!,"['', '고추', '호박', '청국장', '마늘', '멸치', '파', '두부', '양파', '버섯', '무']","['Onion', 'Beans', 'Chilly', 'Other fish', 'Wheat', 'Garlic', 'Other fruiting vegetables', 'Radish']"
홍시젤리껌,"건강한 홈메이드 젤리, 감말랭이맛 홍시젤리껌","['', '감', '꿀']","['Honey', 'Other fruits']"
부추두부샐러드,영양부추 두부샐러드,"['', '후추', '꿀', '간장', '굴소스', '마늘', '양파', '두부', '소금']","['Onion', 'Garlic', 'Honey', 'Other seasonings', 'Beans', 'Pepper', 'Oyster']"
메추리알감자샐러드,메추리알 감자샐러드,"['', '계란', '후추', '감자', '마요네즈', '오이', '아몬드', '햄', '소금']","['Cucumber', 'Pepper', 'Pork', 'Eggs', 'Potato']"
사과키위주스,변비예방 쾌변주스 사과키위주스,"['', '키위', '사과']",['Kiwi']
생딸기청,생딸기청만들기~지금만들어야 젤맛있죠~,"['설탕', '', '식초', '딸기', '소금']",['Other fruits']
생딸기주스,초스피드 생딸기주스~*,"['', '딸기']",['Other fruits']
갸또쇼콜라케이크,갸또 쇼콜라 # 달콤씁쓰르한 초코 케이크,"['', '버터', '계란', '생크림', '밀']","['Eggs', 'Other dairy products', 'Wheat', 'Butter']"
딸기잼케이크,[딸기잼케이크] 쓱싹!쓱싹!만드는재미가있어요!!,"['버터', '설탕', '', '우유', '계란', '생크림', '밀']","['Eggs', 'Other dairy products', 'Wheat', 'Butter']"
저탄수딸기잼,홈메이드 수제 딸기잼 ㅣ 달지 않은 저탄수 딸기잼,"['', '딸기']",['Other fruits']
옐로우자몽청,메로골드청~옐로우자몽청,"['', '자몽']",['Other fruits']
미역오이샐러드,미역오이샐러드 만들기- 바다내음 여름내음 가득!,"['', '설탕', '미역', '식초', '간장', '오이', '양파']","['Beans', 'Cucumber', 'Onion', 'Other seafood']"
오레오아이스크림,오레오아이스크림,"['오레오', '우유']","['Eggs', 'Wheat', 'Butter']"
연어샐러드밥피자,피부 탱탱해지는 연어샐러드 밥피자 ,"['', '설탕', '치즈', '오리고기', '채소', '양파', '쌀', '사과']","['Duck', 'Onion', 'Other fruiting vegetables', 'Rice', 'Green onion', 'Cheese', 'Other herbage crop']"
참외비트주스,참외비트주스 만들기,"['비트', '참외']",['Other root vegetables']
딸기블루베리요거트스무디,딸기블루베리요거트 스무디,"['식초', '꿀', '블루베리', '요거트', '딸기']","['Honey', 'Other fruits']"
오이연어샐러드,연어샐러드 훈제연어샐러드 만들기,"['', '양파', '오리고기']","['Duck', 'Onion']"
인삼토마토잼,인삼토마토잼 만들기,"['설탕', '토마토', '인삼']",['Tomato']
딸기잼스무디,딸기잼 스무디 만드는법 음료 홈카페 딸기스무디레시피 딸기잼 우유 초간단음료레시피,"['', '우유']",[]
청국장샐러드,청국장 샐러드 다이어트 건강 샐러드,"['', '깨', '청국장', '오이', '파프리카', '복숭아']","['Peach', 'Beans', 'Cucumber', 'Wheat', 'Other fruiting vegetables']"
카카오닙스바나나아이스크림,카카오닙스바나나아이스크림,"['카카오', '바나나']",['Banana']
바나나아보카도스무디,신선하고 건강한 그린 스무디볼 만들기(바나나 아보카도 스무디),"['', '우유', '꿀', '아보카도', '블루베리', '바나나', '아몬드']","['Honey', 'Banana', 'Other fruits', 'Other fruiting vegetables']"
케일사과바나나블루베리스무디,"케일 사과 바나나 블루베리 스무디 (Kale, apple, banana, blueberry smoothie)","['', '블루베리', '바나나', '케일', '사과']","['Banana', 'Other fruits', 'Other herbage crop']"
그릭요거트오이샐러드,그릭 요거트 오이 샐러드,"['', '마늘', '오이', '요거트', '소금']","['Garlic', 'Cucumber']"
미니수박화채,미니수박화채,"['복숭아', '', '수박', '포도']","['Peach', 'Other fruits']"
블루베리잼콩포트,블루베리 생과로 만든 블루베리잼 콩포트,"['설탕', '', '빵', '식초', '블루베리']","['Eggs', 'Other fruits', 'Wheat', 'Butter']"
딸기요거트스무디,딸기 요거트 스무디 ,"['', '설탕', '딸기', '생크림']","['Other dairy products', 'Other fruits']"
새우토마토샐러드,신혼 집들이 음식 새우 토마토샐러드 맛있는 유자청 올리브유 드레싱,"['새우', '', '빵', '꿀', '올리브유', '토마토', '파프리카', '양파', '소금']","['Shrimp', 'Onion', 'Honey', 'Butter', 'Tomato', 'Wheat', 'Eggs', 'Other fruiting vegetables']"
유자청쌈무,아삭아삭 맛있는 유자청쌈무,"['', '설탕', '식초', '무', '소금']",['Radish']
과일샐러드또띠아,[식약처] 과일 샐러드 또띠아,"['밀', '꿀', '키위', '오렌지', '자몽', '요거트', '사과']","['Honey', 'Other fruits', 'Wheat', 'Kiwi']"
게살과일샐러드,게살 과일 샐러드 만들기,"['', '식초', '게', '올리브유', '청포도', '마늘', '오이', '간장', '소금']","['Other fruits', 'Beans', 'Cucumber', 'Crab', 'Garlic']"
풋마늘차돌박이된장찌개,*풋마늘 차돌박이 된장찌개*구수한 집된장찌개,"['고추', '고추장', '된장', '소고기', '마늘', '두부']","['Beans', 'Chilly', 'Wheat', 'Garlic', 'Beef']"
