돈까스카레라이스,바삭하게 즐기는 돈까스 카레 덮밥(돈까스 카레라이스),"['', '호박', '돈가스', '고구마', '카레', '양파', '쌀']","['Onion', 'Wheat', 'Pork', 'Eggs', 'Other fruiting vegetables', 'Sweet potato', 'Rice']"
무청시래기지짐,칼칼하고 구수한 무청 시래기 지짐,"['', '설탕', '깨', '고추장', '된장', '마늘', '쌀']","['Beans', 'Chilly', 'Wheat', 'Garlic', 'Rice']"
양배추사과당근주스,양배추로 주스 만들기 : 양배추 사과 당근 주스 ( Cabbage apple carrot Juice ),"['', '양배추', '사과', '당근']","['Other root vegetables', 'Other herbage crop']"
청경채된장무침,초간단 청경채된장무침,"['', '청경채', '고추장', '된장', '마늘']","['Beans', 'Chilly', 'Wheat', 'Garlic', 'Other herbage crop']"
유자청족발냉채,"먹다 남은 족발 활용, 새콤달콤 유자청 족발 냉채","['깨', '', '식초', '마늘', '파프리카', '돼지고기', '상추', '간장']","['Garlic', 'Other fruiting vegetables', 'Beans', 'Pork']"
쌀가루핫케이크,쌀가루 핫케이크와 블루베리 콩포트,"['계란', '우유', '쌀', '']","['Eggs', 'Rice']"
두부닭가슴살샐러드,다이어트중에는 오리엔탈 닭가슴살 두부 샐러드 !,"['', '깨', '참기름', '식초', '닭', '양배추', '꿀', '올리브유', '오이', '간장', '버섯', '두부']","['Chicken', 'Honey', 'Cucumber', 'Beans', 'Other grains', 'Other herbage crop']"
도라지생강청,도라지생강청 만들기!!,"['', '꿀', '생강', '도라지']","['Honey', 'Other root vegetables', 'Ginger']"
팥녹차머핀,고운팥앙금 녹차머핀 ,"['설탕', '버터', '', '우유', '계란', '밀']","['Eggs', 'Wheat', 'Butter']"
단호박샐러드안심스테이크,안심 스테이크,"['', '아스파라거스', '후추', '올리브유', '가지', '소고기', '토마토', '파프리카', '식용유', '소금']","['Tomato', 'Pepper', 'Other fruiting vegetables', 'Beef', 'Other herbage crop']"
핫케이크핫도그,핫케이크 핫도그 만들기,"['', '우유', '빵', '계란', '햄']","['Eggs', 'Wheat', 'Butter', 'Pork']"
단호박오리불고기,"쉽게 따라하는 푸드스타일링 ""단호박오리불고기""","['', '고추', '참기름', '오리고기', '고추장', '간장', '파프리카', '파', '양파', '단호박']","['Onion', 'Beans', 'Other fruiting vegetables', 'Other grains', 'Chilly', 'Wheat', 'Duck']"
마카로니콘샐러드,마카로니콘샐러드,"['옥수수', '', '후추', '맛살', '마요네즈', '오이', '파프리카', '파스타면', '사과']","['Cucumber', 'Corn', 'Crab', 'Pepper', 'Other fish', 'Wheat', 'Eggs', 'Other fruiting vegetables']"
오미자청딸기잼,오미자청♡,"['설탕', '오미자']",[]
불고기치아바타샌드위치,한국인의 샌드위치! - 불고기 치아바타 샌드위치 ,"['', '설탕', '빵', '양파', '소고기', '마늘', '파프리카', '간장']","['Onion', 'Garlic', 'Beans', 'Butter', 'Wheat', 'Eggs', 'Other fruiting vegetables', 'Beef']"
냉동딸기스무디,냉동딸기 스무디,"['', '우유', '딸기']",['Other fruits']
