name,food_name,ingredients
약밥브레드,약밥 브레드,"['바게트', '흑설탕', '소금', '물', '박력분', '강력분', '베이킹파우더', '베이킹소다', '식물성오일', '식물성오일', '생크림', '건살구', '건포도', '건크랜베리', '아몬드', '호박씨', '호두', '계핏가루', '고구마 다이스']"
땡초묵은지김밥,매콤 땡초 묵은지 김밥,"['고슬 밥', '참기름', '소금', '마른김', '맛살', '김밥햄', '단무지', '계란', '묵은지 김치', '청양고추']"
치즈버터링쿠키,치즈 버터링 쿠키 만들기,"['버터', '슈가파우더', '계란 흰자', '박력분', '파마산 치즈 가루', '체다 치즈 가루']"
오리훈제부추달걀볶음밥,오리훈제부추달걀볶음밥,"['훈제오리', '부추', '달걀', '밥', '굴소스', '기름', '참기름', '통깨']"
중국식새우달걀볶음밥,♥[신혼밥상] 중국식 새우달걀볶음밥,"['쌀밥', '달걀', '대파', '다진마늘', '칵테일새우', '굴소스', '참기름', '통깨']"
어묵고구마샐러드,어묵샐러드,"['어묵', '샐러드야채', '방울토마토', '간장', '올리브오일', '다진마늘', '쯔유', '애플비니거', '설탕', '후추', '통깨']"
적채양배추샐러드,적채요리! 마요네즈드레싱을 활용한 적채 양배추 샐러드 만들기,"['적채 양배추', '양조간장', '레몬즙', '들깨가루', '올리고당', '마요네즈', '허니머스터드소스']"
캐러멜사과파운드케이크,캐러멜 사과 파운드케이크 만들기,"['설탕', '물', '사과', '무염버터', '설탕', '달걀', '박력분', '베이킹파우더', '시나몬파우더', '우유', '바닐라익스트랙']"
고추장기름떡볶이,고추장 기름떡볶이 ,"['밀떡볶이', '깨', '포도씨유', '고추장', '설탕', '고춧가루', '간장', '들기름']"
고구마초코케이크,초코초코케익~~~ ^ ^,"['박력분', '아몬드가루', '코코아가루', '베이킹파우더', '버터', '슈가파우더', '계란', '바닐라오일', '초코펜', '레인보우']"
체다치즈쿠키,단짠의 최고봉 [체다치즈쿠키],"['박력분', '황치즈가루', '체다치즈', '버터', '설탕', '계란']"
양배추계란죽,양배추 계란죽,"['양배추', '계란', '불린쌀', '참기름', '소금', '물']"
우유치즈떡볶이,초간단 아이 간식으로 우유 치즈 떡볶이~*,"['떡볶이떡 작은', '비엔나소세지', '체다딥', '우유', '올리고당']"
베이컨토마토계란볶음밥,베이컨 토마토 계란 볶음밥 ( 토달볶 덮밥 ),"['토마토', '파', '베이컨', '계란', '굴소스', '후추', '설탕', '식용유', '밥']"
고추참치치즈김밥,고추참치치즈김밥 ☆ 매운에 안에는 모짜렐라,"['김', '밥', '고추 참치', '청양고추', '모짜렐라치즈', '참기름', '통깨']"
호두단팥빵,호두단팥빵,"['호두단팥빵 생지', '우유', '검은깨']"
아보카도참치비빔밥,아보카도요리 아보카도참치비빔밥 만들기,"['아보카도', '참치 작은거', '계란', '밥', '스리라차소스', '마요네즈']"
두부카레떡볶이,두부카레떡볶이,"['두부', '떡볶이떡', '녹말가루', '소금', '후추', '카레가루', '물', '설탕', '다진마늘', '간장']"
찹쌀팬케이크,찹쌀 팬 케이크 ,"['건찹쌀가루', '우유', '황설탕', '땅콩버터', '올리브오일', '달걀', '바닐라익스트랙']"
녹차생크림식빵,녹차 생크림 식빵,"['강력분', '설탕', '소금', '인스턴트 드라이이스트', '가루녹차', '생크림', '따뜻한 물', '계란', '버터']"
통밀치즈식빵,식빵 만들기 속에 치즈가 가득 통밀치즈식빵만들기,"['강력분', '통밀', '이스트', '설탕', '소금', '물', '우유', '버터', '롤치즈', '에멘탈치즈']"
단호박초코칩머핀,단호박초코칩머핀 ,"['박력분', '호박씨', '버터', '설탕', '달걀노른자', '달걀', '우유', '베이킹파우더', '단호박가루', '오렌지필', '초코칩', '꿀', '럼주']"
찹쌀단팥빵,찹쌀 단팥빵 만들기,"['강력분', '습식찹쌀가루', '소금', '설탕', '인스턴트 드라이 이스트', '우유', '생크림', '버터', '물', '팥앙금', '구운 호두']"
식혜팥빙수,[식약처] 식혜 팥빙수,"['팥', '찹쌀가루', '쑥가루', '물', '식혜', '소금']"
닭가슴살두부샐러드,닭가슴살 두부 샐러드 발사믹드레싱 만들어 뿌려먹기!,"['샐러드 야채', '닭가슴살', '두부', '방울토마토', '양송이버섯', '월계수잎', '통후추', '소금', '후추', '올리브유', '올리브유', '발사믹식초', '올리고당', '레몬즙', '다진양파', '후추', '파슬리가루']"
황태녹두죽,"[건강 집밥] 누룽지 황태녹두죽 만들기, 해독 끝판왕","['황태채', '불린녹두', '국간장', '누룽지']"
고구마단호박샐러드, 구운 고구마 단호박샐러드,"['고구마', '단호박', '버터', '소금', '후춧가루', '시판용 발사믹소스']"
방울토마토치킨샐러드,방울 토마토 샐러드,"['방울토마토', '아이순', '파인애플', '크림치즈', '플레인 요구르트', '설탕']"
양배추참치볶음밥,양배추참치 볶음밥,"['양배추', '계란', '참치', '굴소스', '후춧가루', '파슬리']"
고추참치꼬마김밥,간식)고추참치주먹밥,"['밥', '고추참치', '도시락김', '마요네즈', '소금']"
치킨샐러드샌드위치,유산지없이 만드는 치킨샐러드 샌드위치 ,"['식빵', '치킨너겟', '치즈', '슬라이스햄', '파프리카 노랑', '파프리카 빨강', '토마토', '유자청', '포도쨈', '허니버터아몬드 소스']"
매운고추어묵김밥,3가지 재료로도 충분한 매운고추어묵김밥(냉파요리),"['김', '당근', '단무지', '어묵', '청양고추']"
부추전복죽,[요리] 봄철보양식으로 봄부추전복죽~!!,"['불린 쌀', '전복', '부추', '참기름', '소금', '물']"
오징어오곡밥순대,[식약처] 오징어오곡밥순대,"['오징어', '오곡밥', '데친 취나물', '간장', '다진 마늘', '후추', '참기름', '데쳐서 다진 취나물', '청양고추', '간장', '참기름', '설탕', '다진 마늘', '된장']"
새우장묵은지김밥,#간장새우장요리 #양념새우장요리 #새우장계란말이주먹밥만들기 #간장새우장 #양념새우장,"['간장 새우장', '양념 새우장', '계란말이', '오이맛고추', '밥', '소금', '참기름', '통깨']"
누텔라초코쿠키,누텔라 초코 쿠키,"['버터', '누텔라', '계란', '박력분', '베이킹파우더', '설탕', '소금', '견과류', '코코아파우더']"
우유생강차,[식약처] 우유 생강차,"['우유', '생강', '꿀', '깨소금', '계피가루']"
딸기고구마샐러드,딸기고구마샐러드&요구르트 드레싱,"['호박고구마', '파마산치즈가루', '무염버터', '딸기', '무가당요구르트', '꿀', '레몬즙']"
인절미고구마맛탕,어른들의 홀릭할 간식 ! 인절미고구마맛탕 ★,"['고구마', '식용유', '콩가루', '꿀', '슬라이스아몬드']"
사과튀김주먹밥,사과 튀김 주먹밥&떡볶이 국물과 환상 궁합! : 이색 요리,"['사과(다진 사과3/4컵)', '튀김 가루', '식용유', '튀김가루', '찬물', '찬밥', '게맛살', '소금', '마요네즈', '머스터드 소스', '참기름', '물', '고추장', '가는 고춧가루', '설탕', '진간장', '소금', '채썬 양배추', '전분', '물']"
체리생크림롤케이크,체리 생크림롤케이크,"['박력분', '설탕', '물엿', '달걀', '버터', '우유', '베이킹파우더', '소금', '바닐라오일', '생크림', '버터', '기름', '슈가파우더', '박력분', '달걀흰자', '식용색소빨강', '초록색소']"
민트초코쿠키,민트초코쿠키 : 민초의 난을 극복해줄 민트초코 베이킹 레시피! ,"['무염버터', '흑설탕', '설탕', '달걀', '페퍼민트 티백', '중력분', '코코아파우더', '베이킹소다', '소금', '민트초콜릿']"
베이컨기름떡볶이,베이컨 기름 떡볶이,"['베이컨', '떡국떡', '옥수수', '양파', '고추', '파', '고추기름', '후추', '라면스프']"
잡곡닭가슴살볶음밥,♥[신혼밥상] 잡곡닭가슴살볶음밥,"['잡곡 밥', '닭가슴살', '달걀', '새송이', '양파', '당근', '대파', '굴소스']"
치아바타피자빵,전자레인지를 이용해서 치아바타 피자빵 만들기~쉽고 간단해서 짱~,"['치아바타', '토마토페스토', '모짜렐라치즈']"
바나나호두초코칩머핀,바나나 호두 초코칩 머핀 촉촉함이 일품~♡,"['버터', '황설탕', '흑설탕', '달걀', '박력분', '베이킹파우더', '소금', '시나몬 가루', '코코아 가루', '으깬바나나', '호두분태', '초코칩', '크림치즈', '버터', '슈가파우더', '레몬즙']"
생강양배추샐러드,감기 뚝! 생강 양배추샐러드,"['양배추', '양파', '당근', '생강 약', '포도씨유', '식초', '소금', '설탕', '후추']"
고구마샐러드빵,고구마가 왔어요~~!! 고구마샐러드빵,"['고구마', '모닝빵', '슬라이스햄', '슬라이스치즈', '두유나 우유', '마요네즈', '설탕', '캔옥수수', '머스타드소스']"
비건통밀쿠키,비건 통밀쿠키 ! 초간단에 맛있고 난리부르스,"['카놀라유', '설탕', '두유', '통밀가루', '소금', '다크초콜릿']"
