name,food_name,ingredients
베이컨롤에그토스트,간단하고 맛있는 베이컨롤 에그 토스트 만들기,"['식빵', '베이컨', '삶은 달걀', '마요네즈', '설탕']"
야채참치볶음밥,야채참치볶음밥 냉파요리,"['참치 캔', '양파', '다진 양파', '다진 애호박', '새송이버섯', '대파', '백미', '김밥용 김', '단무지', '조린 우엉', '간장', '소금', '후춧가루', '참기름', '통깨']"
부추계란김밥,부추 계란 김밥 속 재료 몇 없는 간단 집 김밥 만들기,"['김밥 단무지', '김밥 김', '당근', '소금', '식용유 계란', '소금', '후추', '식용유 밥', '다진 부추', '통깨', '소금', '참기름']"
돼지목살야채볶음밥,돼지목살야채볶음밥,"['돼지고기목살', '대파', '양파', '애호박', '달걀', '소금', '굴소스', '참기름']"
복분자티라미수,[고창 토박이 복분자] 복분자 원액으로 만든 복분자 티라미수(기분좋은 달콤함)!,"['복분자원액', '크림치즈', '생크림', '식빵', '꿀물']"
견과류계란토스트,견과류계란토스트 레시피,"['식빵', '버터', '계란', '식용유', '체다치즈', '견과류', '마요네즈', '설탕']"
밥통치즈계란빵,밥통 카스텔라 빵 만들기,"['머핀믹스', '달걀', '버터', '우유']"
플레인요거트카스테라,"존맛탱!! 플레인 요거트 카스테라 만들기(노버터 베이킹, 초간단 베이킹)","['계란 흰자', '계란 노른자', '설탕', '카놀라유', '플레인요거트', '레몬즙', '밀가루중력분', '베이킹파우더', '바닐라향파우더']"
카레새우삼각김밥,카레새우 삼각김밥 도시락싸기,"['새우', '양파', '김치', '밥지을쌀', '김밥용김', '계란', '밀가루', '빵가루', '백세 카레가루']"
두부땡초김밥,햄 대신 두부와 땡초를 넣은 두부땡초김밥 ♥,"['두부', '청양고추', '데리야끼소스', '마요네즈', '김밥용 김', '밥', '소금', '후추', '참기름', '소금', '통깨']"
야채오믈렛토스트,야채 오믈렛 토스트,"['식빵', '계란', '청홍노랑피망', '양파', '비엔나소세지', '버터', '소금', '케첩', '파마산치즈가루']"
산딸기마카롱,산딸기 마카롱(이탈리안 머랭 만들기),"['아몬드가루', '슈가파우더', '복분자 딸기가루', '달걀 흰자', '설탕', '물', '식용색소 약간', '버터', '슈가파우더', '산딸기']"
버터계란볶음밥,버터계란볶음밥,"['달걀', '쪽파', '소금', '후춧가루', '식용유', '진간장', '깨소금', '참기름', '버터', '밥']"
크레미치즈계란말이,촉촉한 크레미치즈계란말이 만들기,"['계란', '슬라이스치즈', '크레미', '피자치즈', '쪽파 파란부분']"
리코타치즈튀김,"리코타치즈튀김, 색다른 리코타치즈요리","['리코타치즈', '빵가루', '파마산 치즈 가루', '생바질잎', '소금', '후추', '빵가루', '케첩']"
묵은지삼겹살김밥,묵은지 삼겹살 김밥~*,"['김밥김', '삼겹살', '묵은지', '상추', '통마늘', '청양초', '갈치속젓', '쌈장', '참기름', '소금', '통깨']"
모짜렐라치즈계란말이,모짜렐라 치즈 계란말이 만들기!♡,"['스트링치즈', '계란', '당근', '양파', '파', '맛소금']"
건새우볶음밥,건새우볶음밥 만들기,"['마른새우', '계란', '밥', '간장', '파', '소금']"
계란말이치즈김밥,계란말이치즈김밥,"['김', '달걀', '양파', '청피망', '홍피망', '슬라이스치즈', '어묵', '베이컨', '단무지', '시금치', '소금', '참기름']"
전자렌지달걀찜,더운날 불앞에서 땀 흘리지말고 전자렌지로 간단반찬 만들어봐요 - 달걀찜,[]
깻잎참치볶음밥,깻잎 참치 볶음밥 레시피,"['밥', '계란', '참치캔', '파', '깻잎', '참치액젓', '참기름', '후추']"
베이컨참치볶음밥,참 쉬운 한그릇요리 베이컨참치볶음밥,"['밥', '베이컨', '양파', '야채참치', '들기름', '깨', '후추', '계란 프라이']"
구운계란샐러드샌드위치,구운 계란 샐러드 샌드위치 요리 만들기,"['사과', '양파', '피클', '구운계란', '마요네즈', '홀그레인머스타드소스', '꿀', '소금', '후추', '식빵', '슬라이스치즈']"
단호박팬케이크,단호박팬케이크,"['단호박', '꿀', '핫케이크믹스', '우유', '계란']"
시금치명란계란말이,저녁반찬으로 준비한 시금치 명란 계란말이,"['시금치', '소금', '대파', '깨소금', '가는 소금', '참기름', '들기름', '껍질 제거한 명란젓', '달걀', '식용유']"
치즈참치스팸김밥,치즈참치스팸김밥 만들기,"['밥', '참치캔', '스팸', '슬라이스치즈', '단무지', '오이', '계란', '마요네즈', '소금', '참기름', '맛술', '깨']"
크랩오픈샌드위치,두부키위주스와 크랩오픈샌드위치,"['안심크랩', '델리카트슨다진것', '달걀', '잉글리시머핀', '아스파라거스', '양파', '행복한콩모닝두부', '키위', '올리고당', '우유', '소금', '크림치즈', '마요네즈', '플레인요거트', '통후추', '소금']"
초코크로와상샌드위치,초코크로와상샌드위치,"['초코 크로와상', '바나나', '누텔라']"
통밀밤파운드케이크,밀눈 넣은 100%통밀 밤 파운드케이크,"['오란다 팬', '앉은뱅이 통밀가루', '밀 눈', '밤 통조림', '소금', '비정제 설탕', '포도씨유', '물', '달걀', '베이킹 파우더', '베이킹 소다', '토핑용 밀눈']"
베이컨카레볶음밥,베이컨카레볶음밥,"['밥', '베이컨', '양파 작은것', '애호박', '당근', '카레가루', '간마늘', '식용유', '버터', '소금', '후추']"
베이컨치아바타샌드위치,베이컨 치아바타 샌드위치 브런치메뉴로 굿~,"['올리브치아바타', '계란', '베이컨', '슬라이스치즈', '양상치', '루꼴라', '사과', '소금', '후추', '우유', '다진 양파', '마요네즈', '그릭요거트', '크림치즈', '홀그레인머스타드', '레몬즙', '올리고당', '파마산치즈가루', '후추']"
베이글마약토스트,엄청 맛있는 초간단 3분 요리 전자렌지로 조리하는 베이글 마약 토스트,"['베이글', '햄', '계란', '마요네즈', '설탕', '슬라이스 치즈', '피자치즈']"
햄치즈달걀토스트,단짠단짠 햄치즈달걀토스트 만들기,"['식빵', '샌드위치햄', '모짜렐라치즈', '스위트콘', '달걀', '소금', '마요네즈', '피클머스터드 또는 머스터드']"
세발나물달걀말이,세발나물 달걀말이 ,"['달걀', '세발나물', '물', '소금']"
롤리팝머랭쿠키,색다른 머랭쿠키~ 러블리한 롤리팝 머랭쿠키❤ ,"['달걀흰자', '설탕', '레몬즙', '스프링클']"
할라피뇨새우볶음밥,할라피뇨 새우볶음밥,"['밥', '새우', '달걀', '청피망', '양파', '빨간파프리카', '할라피뇨', '간장', '통깨', '후춧가루']"
초코바나나아이스크림,초코바나나 아이스크림,"['얼린 바나나', '초코가루', '우유']"
콘치즈김치볶음밥,옥수수가 톡톡 콘치즈 김치볶음밥 만들기,"['밥', '배추김치', '피자치즈', '콘옥수수', '청양고추', '간장', '설탕', '참기름', '고춧가루', '통깨']"
딸기요거트크림치즈다쿠아즈,[홈베이킹]크림치즈 다쿠아즈,"['계란흰자', '설탕', '아몬드파우더', '박력분', '슈가파우더', '크림치즈', '설탕']"
카레치즈계란말이,카레 치즈 계란말이,"['계란', '체다치즈(짠것은1장)', '식용유', '카레가루']"
대패삼겹살삼각김밥,대패 삼겹살 삼각 김밥,"['밥', '대패삼겹살', '삼각김밥용김', '조미김', '참기름', '깨소금', '가는 소금', '간장', '설탕', '맛술', '참치액', '고추가루', '다진마늘', '후추']"
딸기크림치즈컵케이크,사르르르~ [노오븐] 딸기 크림치즈 컵케이크 ,"['빵', '딸기', '슈가파우더', '코코아파우더', '달걀 노른자', '크림치즈', '생크림', '설탕']"
두릅치즈달걀말이,두릅치즈 달걀말이,"['달걀', '슬라이스치즈', '두릅', '프리미엄 게맛살', '대파', '식용유', '소금']"
고추장불고기김밥,치즈 고추장 불고기 김밥,"['김밥용 김', '밥', '단무지', '당근', '쌈채소', '고추장불고기', '슬라이스 치즈', '소금', '통깨', '참기름', '식용유']"
연두부새우계란탕,"부드럽고 맑은 국물요리, 연두부 새우 계란탕","['연두부', '계란', '칵테일 새우', '다진 쪽파', '자른 다시마', '물', '참치액젓', '국간장', '소금', '후추']"
팬케이크핫도그,팬케이크핫도그로 아이들간식 만들기,"['후랑크소시지', '핫케익가루', '달걀', '우유', '식용유', '케첩']"
냉이치즈김밥,봄 소풍 도시락! 봄나물 냉이 치즈 김밥,"['▶ 재료 : 김', '밥', '노란 치즈', '흰 치즈', '소고기', '냉이나물', '수제 단무지', '소금', '깨소금', '참기름']"
바나나두유푸딩,담백 달콤 바나나두유푸딩 만들기,"['바나나', '토핑용', '한천가루', '전분', '두유', '흑설탕', '카라멜시럽']"
도넛마카롱,마카롱믹스로 나만의 도넛마카롱 만들기 ♥,"['마카롱믹스', '화이트크림', '짤주머니', '마카롱 도안', '따뜻한 물(45ml)', '초코잼', '초코펜', '스프링클']"
로투스슈크림라떼,로투스 슈크림라떼 만들기,"['동물성 휘핑크림', '설탕', '슈크림파우더', '얼음', '우유', '에스프레소', '로투스']"
스노우맨레드벨벳컵케이크,스노우맨 레드벨벳컵케이크 l 포슬포슬 눈 내린 레드벨벳컵케이크 ★,"['레드벨벳 머핀 믹스', '달걀', '식용유', '우유', '따뜻한 물', '버터', '크림치즈', '슈가파우더', '마시멜로우', '코코넛가루', '초코 펜', '초코볼', '막대과자']"
커피바스크치즈케이크,커피 바스크 치즈 케이크,"['크림 치즈', '커피', '설탕', '계란', '생크림', '중력분(Plain flour)', '소금', '18cm']"
밥새우야채볶음밥,밥새우 야채 볶음밥 만들기 ,"['밥새우', '당근', '호박', '양파', '계란', '소금']"
명란마요감자샐러드샌드위치,속이 꽉 찬~ 명란마요 감자샐러드 샌드위치,"['감자 작은거', '마요네즈', '명란젓', '파슬리', '채썬 양배추', '맛살', '당근', '양파', '식빵']"
수란마약계란장,수란 마약 계란장,"['양파', '대파', '청양고추', '홍고추', '물', '간장', '올리고당', '다시마', '계란']"
연어꼬마김밥,연어꼬마김밥 만들기,"['동원연어', '밥', '새싹', '허니머스타드', '김밥용김', '들기름', '소금', '통깨', '후추']"
고추마요참치삼각김밥,참치 고추마요 삼각김밥 만들기 참 쉽네요~고추마요 참치 삼각김밥,"['참치캔 150g', '양파', '깻잎', '밥', '통깨', '참기름', '소금', '삼각김밥 포장 김']"
감자달걀샐러드모닝빵샌드위치,모닝빵으로 감자에그샌드위치,"['모닝빵', '감자', '달걀', '오이', '마요네즈', '소금', '후추가루']"
감자에그마요샌드위치,감자 에그샐러드 감자 에그마요 샌드위치 만들기,"['감자', '계란', '파프리카 노랑 빨강 각', '마요네즈', '소금', '설탕']"
구운계란비빔국수,구운계란 비빔국수,"['소면', '다진 김치', '오이 채', '당근 채', '구운 계란', '참기름', '통깨', '고운 고추가루', '굵은 고추가루', '진간장', '설탕', '매실액']"
콘샐러드모닝빵샌드위치,샌드위치 요리 / 모닝빵과 편의점 콘샐러드를 활용한 '콘샐러드 모닝빵 샌드위치',"['모닝빵', '콘샐러드']"
갑오징어마늘볶음밥,(가정간편식) 갑오징어 마늘 볶음밥,"['갑오징어', '다진마늘', '다진양파', '다진대파', '다진 소시지', '다진 영양부추', '밥', '달걀', '올리브유', '밀가루', '물', '소주', '굴소스']"
과일요거트샐러드,과일 요거트 샐러드,"['수박', '복숭아', '자두', '바나나', '플레인요구르트']"
건표고버섯계란장조림,건표고버섯계란장조림!,"['건표고버섯', '계란', '홍고추', '월계수잎', '진간장', '굴소스', '올리고당', '설탕', '생강술', '참기름', '통깨']"
미니치즈소세지계란말이,미니치즈소세지계란말이 레시피 아이반찬 도시락반찬,"['계란', '비엔나소세지', '체다슬라이스치즈', '식용유']"
생크림과일오픈샌드위치,생크림과일 오픈샌드위치 ,"['생크림', '양상추', '단감', '식빵', '밤꿀']"
소시지달걀프리타타,소시지달걀프리타타 맛이 타타 타타타♪ ,"['달걀', '소시지', '당근', '양파', '소금', '후추', '식용유', '토마토케첩', '마요네즈']"
딸기티라미수,딸기 티라미수,"['딸기', '크림치즈', '마스카포네치즈', '설탕', '무가당 생크림', '플레인 요거트', '레몬즙', '다이제 스티브', '에스프레소 커피', '코코아파우더']"
애플핫케이크,삼단애플 핫케이크,"['사과', '고구마', '호두', '핫케이크 가루', '두유', '계란', '버터', '카놀라유', '사양꿀', '올리고당', '마늘', '스페셜K 콘프레이크', '체다치즈', '블루베리']"
단팥두유푸딩,"정식품 콩국물로 만든 디저트, 단팥 두유 푸딩 ","['진한 콩국물 두유', '판 젤라틴', '설탕 또는 꿀', '소금', '빙수용 단 팥 조림', '메이플 시럽']"
야채치즈계란찜,야채 치즈 계란찜,"['계란', '당근', '목이버섯', '브로콜리', '게맛살', '피자치즈', '전분', '파슬리가루', '참기름', '구운소금', '후추']"
스팸김치달걀볶음밥,스팸김치달걀볶음밥,"['밥', '스팸', '비엔나소세지', '참치', '김치', '참기름', '후추', '간장', '달걀']"
크래미오이모닝빵샌드위치,크래미 오이 모닝빵 샌드위치..,"['크래미', '오이', '모닝빵', '마요네즈', '허니머스타드', '와사비', '맛소금', '설탕']"
옥수수계란토스트,마약 옥수수 계란 토스트,"['식빵', '계란', '캔옥수수', '마요네즈', '피자치즈', '설탕']"
바나나초콜릿케이크,바나나 초콜릿 케이크,"['으깬 바나나', '박력분', '버터', '설탕', '달걀', '바나나', '연유', '다크 커버춰', '베이킹 파우더', '베이킹 소다']"
미니초코치즈케이크,달콤함에 사르륵 녹는 미니 초코치즈케이크 ♥,"['크림치즈', '설탕', '달걀', '달걀 노른자', '바닐라익스트랙', '박력분', '옥수수전분', '생크림', '우유', '코코아파우더']"
베이컨대파계란볶음밥,베이컨대파계란 볶음밥,"['베이컨', '계란', '대파', '찬밥', '굴소스', '간장', '참기름']"
어묵볶음꼬마김밥,어묵볶음꼬마김밥:간단히 떼우는 한끼식사로 그만이다,"['김밥용단무지', '사각어묵', '식용유', '참기름', '통깨', '양념장', '고춧가루', '고추장', '맛간장', '맛술', '조청', '다진마늘']"
헤이즐넛슈크림라떼,헤이즐넛 슈크림라떼 만들기,"['동물성 휘핑크림', '설탕', '슈크림파우더', '얼음', '우유', '헤이즐넛시럽', '에스프레소', '코코아파우더']"
딸기요거트밀푀유,딸기 요거트 밀푀유,"['백설영양균형핫케익믹스', '투썸요거트파우더', '달걀', '우유', '딸기']"
부추치즈계란말이,"부추요리, 부추듬뿍 부추치즈계란말이 만들기 :)","['계란', '맛소금', '치즈', '부추', '양파', '당근', '들기름', '카놀라유']"
로투스브라우니치즈케이크, 로투스 브라우니 치즈 케이크,"['다크 초콜릿', '버터', '설탕', '계란', '소금', '박력분', '코코아 파우더', '크림치즈', '생크림', '계란', '박력분', '바닐라 익스트랙', '로투스 과자']"
불고기치즈김밥,불고기치즈 김밥,"['밥', '김밥용김', '깻잎', '소고기불고기용', '슬라이스치즈', '간장', '설탕', '청주', '다진마늘', '참기름', '깨소금', '후춧가루']"
생강라떼,생강라떼 진저라떼,"['우유', '생강청', '시나몬 가루', '스틱 계피']"
치즈계란김밥,치즈계란김밥 만드는법 최애김밥 레시피,"['김밥김', '밥', '계란', '슬라이스치즈', '참기름', '통깨', '소금', '케찹']"
우주선김치볶음밥,우주선 김치 볶음밥..,"['김장김치', '햄', '칵테일새우', '밥', '굴소스', '식용유', '들기름', '참기름', '통깨', '달걀', '피자치즈']"
햄에그감자샌드위치,♡♡♡햄 에그 감자샌드위치♡♡~정말 맛있어요!사먹는것 부럽지 않아요♡♡,"['샌드위치 식빵', '삶은 감자', '적양파 작은것', '삶은 달걀', '햄', '치즈', '삶은 브로콜리', '피클', '청상추', '크레미맛살', '마요네즈', '소금', '설탕', '홀그레인머스터드', '흰후추']"
시나몬롤케이크,무반죽 시나몬롤케이크:가을끝...흐린 수요일에 시나몬롤을 구워요,"['강력분', '우유', '오일', '꿀', '소금', '드라이이스트', '견과류', '우유']"
크리스마스컵케이크,크리스마스 컵케이크,"['박력분', '코코아 가루', '버터', '달걀', '우유', '초코칩', '청크 초콜릿', '생크림', '식용색소빨강', '초록색소', '스프링클', '비정제 수수당', '베이킹파우더', '소금']"
파프리카달걀찜,파프리카달걀찜,"['달걀', '파프리카 빨강', '파프리카 주황', '밥이랑야채', '양파', '고추', '허브맛솔트']"
딸기요거트버블스무디,이젠 딸기까지 버블버블해 ★ 딸기요거트버블스무디 ★,"['화이트 타피오카펄', '딸기 시럽', '설탕', '플레인요거트', '우유', '얼음']"
산딸기요거트아이스크림,산딸기 요거트 아이스크림,"['플레인요구르트', '(산)딸기', '설탕']"
갓김치스팸볶음밥,"갓김치스팸 볶음밥 ~ 한끼요리 , 혼밥요리로 좋아요 ","['갓김치', '스팸', '대파', '굴소스', '참기름', '통깨']"
바닐라컵케이크, 바닐라 컵케이크 ,"['버터', '박력분', '설탕', '물엿', '베이킹 파우더', '우유', '달걀', '바닐라빈', '생크림', '설탕', '바닐라 익스트랙']"
참치감자샌드위치,"참치감자샌드위치, 참치감자 마요네즈 샌드위치 만드는법","['샌드위치빵', '마요참치', '감자', '오이', '파프리카', '마요네즈', '머스터드', '소금', '후추']"
양파달걀찜,양파 달걀찜~*,"['달걀', '대파', '양파', '소금']"
블루베리요거트푸딩,홈카페 디저트 만들기! 블루베리요거트푸딩 ,"['블루베리', '물', '설탕', '판젤라틴', '플레인요거트', '블루베리', '애플민트']"
게살깻잎누드김밥,게살깻잎누드김밥과 게살주먹밥 만들기 ,"['밥', '깻잎', '김밥용김', '오이', '크래미', '참기름', '소금', '검정깨', '마요네즈', '후추']"
갈릭베이컨볶음밥,어린이 갈릭베이컨볶음밥,"['마늘', '당근', '돼지호박', '베이컨', '포도씨유', '밥 수북히', '소금', '후추']"
딸기바나나토스트,[어린이날간식] 딸기바나나토스트. 함께 만들어서 즐겨요~,"['두툼한 식빵', '바나나', '딸기', '버터', '꿀', '피스타치오']"
오징어계란장조림,오징어 계란장조림 맛있게 만드는법,"['반건조 오징어', '구운 계란', '홍고추', '청양고추', '통마늘', '간장', '쌀뜨물', '설탕', '조청']"
단호박모닝빵샌드위치,단호박모닝빵샌드위치 만들기,"['찐 단호박', '적채', '빨간 파프리카', '소금', '허니머스타드']"
아이스마카롱,미니 아이스마카롱 집에서 간단하게 만드는 방법,"['계란과자', '메로나', '호두마루']"
딸기컵케이크,딸기컵케이크 만들기,"['무염버터', '비정제황설탕', '달걀', '천일염', '우유', '우리밀중력분', '베이킹파우더', '바닐라엑스트렉', '딸기', '비정제황설탕', '레몬즙', '물', '비정제 황설탕', '생크림', '비정제 황설탕']"
분홍소세지묵은지김밥,김밥 옆구리 안터지게 만드는 꿀팁 분홍소세지 묵은지김밥 황금레시피 - 도시락메뉴,"['김밥용 김', '분홍소세지', '묵은지', '당근', '밥', '그린빈스', '계란', '참기름', '설탕', '참깨', '소금']"
소시지달걀치즈토스트,"식빵 토스트, 든든한 소시지 달걀 치즈 토스트","['식빵', '버터', '달걀', '채썬당근', '송송썬파', '모짜렐라치즈', '소금', '후추', '설탕']"
깻잎계란샌드위치,간단하게 맛있게 만들자! '깻잎계란샌드위치',"['식빵', '계란', '깻잎', '참치캔', '버터', '케찹', '허니머스타드', '소금', '후추']"
리코타치즈크레페,리코타 치즈 크레페,"['피칸', '마카다미아 넛', '슈거파우더', '백설 크레페믹스', '에스프레소', '우유', '달걀', '버터(녹인것)', '리코타치즈', '메이플시럽']"
어묵야채볶음밥,어묵 야채 볶음밥 ,"['어묵', '양파', '청피망', '빨강파프리카', '노랑파프리카', '버터', '참기름', '소금']"
코코넛시나몬요거트스무디,어린이날 간식에 색다른 음료 어때요? 코코넛 시나몬 요거트스무디 ♥,"['얼음', '플레인요구르트', '코코넛파우더', '시나몬파우더', '믹서기']"
리코타치즈샌드위치,맛집레시피가 한눈에~! 리코타치즈샌드위치 ★,"['식빵', '리코타치즈', '슬라이스치즈', '토마토', '청상추']"
고등어순살볼계란탕,온 가족 영양 가득~ 노르웨이 고등어 순살 볼 계란탕!,"['노르웨이 자반고등어', '계란', '작은 파', '멸치육수', '참치액', '다진마늘', '생강맛술', '후추', '볶음 소금']"
아몬드고구마라떼,아몬드 고구마라떼~식물성 밀크로 고소하게 건강하게♡♡,"['찐고구마', '불린아몬드', '병아리콩', '꿀', '계피가루']"
새송이계란장조림, 밑반찬 새송이 계란장조림,"['달걀', '미니 새송이', '마늘', '생강가루', '물', '간장', '맛술', '올리고 당', '설탕']"
치즈감자샐러드샌드위치,썰어먹는 샌드위치 - 치즈 감자샐러드 샌드위치 ,"['감자', '옥수수통조림', '마요네즈', '소금', '후추', '그밖의채소', '베이컨', '양파등채소류', '식빵', '모짜렐라치즈', '체다치즈']"
바나나아이스크림아포가토,바나나 아이스크림 아포가토,"['물', '바나나', '커피', '메이플 시럽']"
녹차컵케이크,크리스마스 녹차컵케이크,"['버터', '설탕', '노른자', '바닐라익스트랙', '박력분', '베이킹파우더', '녹차(마차가루)', '우유', '생크림', '설탕', '데코용 슈거파우더']"
